,area_type,location,total_sqft,bath,balcony,price,bhk
0,Super built-up  Area,Electronic City Phase II,1056.0,2.0,1.0,39.07,2.0
3,Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3.0
4,Super built-up  Area,Kothanur,1200.0,2.0,1.0,51.0,2.0
12,Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2.0
13,Built-up  Area,Gottigere,1100.0,2.0,2.0,40.0,2.0
15,Super built-up  Area,Mysore Road,1175.0,2.0,2.0,73.5,2.0
16,Super built-up  Area,Bisuvanahalli,1180.0,3.0,2.0,48.0,3.0
20,Built-up  Area,Kengeri,600.0,1.0,1.0,15.0,1.0
21,Super built-up  Area,Binny Pete,1755.0,3.0,1.0,122.0,3.0
23,Super built-up  Area,Bellandur,1767.0,3.0,1.0,103.0,3.0
24,Super built-up  Area,Thanisandra,510.0,1.0,0.0,25.25,1.0
27,Built-up  Area,Whitefield,1610.0,3.0,2.0,81.0,3.0
28,Super built-up  Area,Ramagondanahalli,1151.0,2.0,2.0,48.77,2.0
29,Super built-up  Area,Electronic City,1025.0,2.0,1.0,47.0,3.0
32,Super built-up  Area,Hebbal,1760.0,2.0,2.0,123.0,3.0
34,Built-up  Area,Kasturi Nagar,1925.0,3.0,2.0,125.0,3.0
37,Super built-up  Area,Kundalahalli,1724.0,3.0,2.0,125.0,3.0
39,Built-up  Area,Uttarahalli,1143.0,2.0,2.0,45.0,2.0
40,Built-up  Area,Murugeshpalya,1296.0,2.0,2.0,81.0,2.0
42,Super built-up  Area,other,600.0,1.0,0.0,38.0,1.0
43,Plot  Area,Yelahanka,660.0,1.0,0.0,48.0,1.0
44,Super built-up  Area,Kanakpura Road,1330.74,2.0,2.0,91.79,2.0
46,Super built-up  Area,Doddathoguru,970.0,2.0,0.0,33.0,2.0
47,Super built-up  Area,Whitefield,1459.0,2.0,1.0,94.82,2.0
53,Super built-up  Area,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2.0
55,Super built-up  Area,Begur Road,1200.0,2.0,2.0,44.0,2.0
59,Super built-up  Area,other,840.0,2.0,2.0,45.0,2.0
61,Super built-up  Area,other,845.0,2.0,1.0,55.0,2.0
63,Built-up  Area,Varthur,1160.0,2.0,2.0,44.0,2.0
65,Super built-up  Area,Doddathoguru,1100.0,2.0,1.0,62.0,2.0
67,Super built-up  Area,Marathahalli,1220.0,2.0,1.0,57.0,2.0
71,Super built-up  Area,Begur Road,1358.0,2.0,1.0,80.58,2.0
72,Super built-up  Area,Hegde Nagar,1569.0,3.0,1.0,101.0,3.0
73,Super built-up  Area,Haralur Road,1240.0,2.0,1.0,70.0,2.0
75,Super built-up  Area,Kothannur,1206.0,2.0,1.0,48.23,2.0
78,Built-up  Area,Kaval Byrasandra,460.0,1.0,0.0,22.0,2.0
80,Super built-up  Area,other,1660.0,2.0,2.0,105.0,3.0
82,Super built-up  Area,Yelahanka,1326.0,2.0,2.0,78.0,2.0
83,Super built-up  Area,Garudachar Palya,1325.0,2.0,2.0,60.8,3.0
87,Super built-up  Area,Dasanapura,708.0,2.0,2.0,37.0,2.0
88,Super built-up  Area,Kasavanhalli,1060.0,2.0,2.0,58.06,2.0
90,Built-up  Area,Sanjay nagar,1000.0,2.0,2.0,70.0,2.0
95,Super built-up  Area,Domlur,1540.0,3.0,2.0,90.0,3.0
97,Super built-up  Area,Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,3.0
98,Built-up  Area,other,1200.0,2.0,1.0,65.0,2.0
99,Built-up  Area,other,1200.0,3.0,1.0,90.0,3.0
101,Built-up  Area,Chandapura,650.0,1.0,1.0,17.0,2.0
105,Super built-up  Area,other,966.0,2.0,2.0,49.9,2.0
106,Built-up  Area,Nagarbhavi,1630.0,2.0,1.0,98.0,3.0
108,Built-up  Area,other,782.0,2.0,2.0,55.68,2.0
109,Super built-up  Area,Devanahalli,1260.0,2.0,2.0,66.78,2.0
111,Super built-up  Area,other,1413.0,2.0,2.0,75.0,3.0
117,Super built-up  Area,Thanisandra,1436.0,3.0,1.0,74.75,3.0
118,Super built-up  Area,Malleshwaram,1100.0,2.0,2.0,75.0,2.0
120,Super built-up  Area,Thanisandra,1427.0,3.0,2.0,120.0,3.0
124,Super built-up  Area,Devanahalli,1282.0,2.0,2.0,68.52,3.0
125,Built-up  Area,Kadugodi,1050.0,2.0,1.0,34.0,2.0
127,Super built-up  Area,other,945.0,2.0,1.0,54.0,2.0
128,Super built-up  Area,Hormavu,1500.0,2.0,1.0,78.0,2.0
131,Plot  Area,Sarjapur,1600.0,3.0,1.0,75.0,3.0
134,Super built-up  Area,Kudlu Gate,1535.0,3.0,2.0,83.0,3.0
135,Built-up  Area,Kanakpura Road,950.0,2.0,1.0,57.0,2.0
137,Super built-up  Area,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2.0
138,Super built-up  Area,Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,3.0
139,Super built-up  Area,other,1260.0,2.0,2.0,85.05,3.0
142,Super built-up  Area,Kasavanhalli,1563.05,3.0,1.0,105.0,3.0
143,Super built-up  Area,ISRO Layout,1000.0,2.0,1.0,60.0,2.0
144,Super built-up  Area,Anandapura,1167.0,2.0,1.0,43.76,2.0
146,Super built-up  Area,Kothanur,1828.0,3.0,2.0,110.0,3.0
147,Super built-up  Area,Kengeri Satellite Town,890.0,2.0,1.0,35.0,2.0
151,Super built-up  Area,Kannamangala,957.0,2.0,1.0,58.0,2.0
154,Super built-up  Area,Hulimavu,1125.0,2.0,2.0,50.0,2.0
155,Super built-up  Area,Electronic City Phase II,1020.0,2.0,1.0,30.6,2.0
156,Super built-up  Area,Kalena Agrahara,1200.0,2.0,2.0,50.0,2.0
161,Super built-up  Area,Hosa Road,1063.0,2.0,1.0,32.0,2.0
162,Super built-up  Area,other,1904.0,3.0,1.0,150.0,3.0
165,Super built-up  Area,Sarjapur,1242.5,2.0,0.0,43.49,2.0
166,Super built-up  Area,other,1425.0,2.0,2.0,75.0,3.0
167,Super built-up  Area,Electronic City,1500.0,2.0,1.0,64.5,3.0
168,Built-up  Area,Electronic City,1060.0,2.0,1.0,60.0,2.0
171,Super built-up  Area,Attibele,450.0,1.0,1.0,11.0,1.0
172,Super built-up  Area,Electronic City,1152.0,2.0,1.0,64.5,2.0
175,Plot  Area,other,1500.0,3.0,2.0,100.0,3.0
177,Plot  Area,Nagavara,400.0,1.0,0.0,14.0,1.0
183,Super built-up  Area,Vijayanagar,1704.0,3.0,2.0,110.0,3.0
184,Super built-up  Area,Electronic City,1070.0,2.0,1.0,52.0,2.0
188,Super built-up  Area,KR Puram,1277.5,2.0,0.0,56.8,2.0
189,Super built-up  Area,Marathahalli,1200.0,2.0,2.0,52.0,2.0
194,Super built-up  Area,Marathahalli,1200.0,2.0,2.0,60.0,2.0
195,Super built-up  Area,Yelahanka,1327.0,2.0,2.0,98.0,2.0
196,Super built-up  Area,Kothanur,1186.0,2.0,2.0,58.0,2.0
197,Built-up  Area,other,1783.0,3.0,1.0,115.0,3.0
